jobs,code,count,mean,std,min,25%,50%,75%,max,rel_std
"['Air Traffic Controllers', 'Airfield Operations Specialists']",53-202,2.0,74.0,11.313708498984761,66.0,70.0,74.0,78.0,82.0,0.15288795268898325
"['Prepress Technicians and Workers', 'Print Binding and Finishing Workers', 'Printing Press Operators']",51-511,3.0,51.0,7.810249675906654,42.0,48.5,55.0,55.5,56.0,0.1531421505079736
"['First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand', 'Recycling Coordinators']",53-102,2.0,58.5,9.192388155425117,52.0,55.25,58.5,61.75,65.0,0.15713484026367722
"['Rail Car Repairers', 'Farm Equipment Mechanics and Service Technicians', 'Mobile Heavy Equipment Mechanics, Except Engines']",49-304,3.0,55.333333333333336,8.736894948054106,48.0,50.5,53.0,59.0,65.0,0.15789569183230312
"['Mechanical Engineers', 'Automotive Engineers', 'Fuel Cell Engineers']",17-214,3.0,50.666666666666664,8.082903768654761,42.0,47.0,52.0,55.0,58.0,0.15953099543397556
"['Credit Checkers', 'Credit Authorizers']",43-404,2.0,62.0,9.899494936611665,55.0,58.5,62.0,65.5,69.0,0.1596692731711559
"['Pile-Driver Operators', 'Operating Engineers and Other Construction Equipment Operators', 'Paving, Surfacing, and Tamping Equipment Operators']",47-207,3.0,61.666666666666664,9.865765724632494,55.0,56.0,57.0,65.0,73.0,0.1599853901291756
"['Fire Investigators', 'Fire Inspectors', 'Forest Fire Inspectors and Prevention Specialists']",33-202,3.0,62.666666666666664,10.263202878893768,54.0,57.0,60.0,67.0,74.0,0.16377451402490056
"['Stock Clerks, Sales Floor', 'Marking Clerks', 'Order Fillers, Wholesale and Retail Sales', 'Stock Clerks- Stockroom, Warehouse, or Storage Yard']",43-508,4.0,69.0,11.343133018115703,58.0,61.75,67.0,74.25,84.0,0.1643932321466044
"['Forensic Science Technicians', 'Forest and Conservation Technicians', 'Quality Control Analysts', 'Environmental Science and Protection Technicians, Including Health', 'Precision Agriculture Technicians', 'Remote Sensing Technicians']",19-409,6.0,57.5,9.628083921528727,48.0,48.75,56.5,66.5,68.0,0.167444937765717
"['Hydroelectric Plant Technicians', 'Petroleum Pump System Operators, Refinery Operators, and Gaugers', 'Chemical Plant and System Operators', 'Biomass Plant Technicians', 'Gas Plant Operators', 'Biofuels Processing Technicians']",51-809,6.0,61.666666666666664,10.347302385968366,49.0,54.75,60.5,67.75,77.0,0.16779409274543297
"['Insurance Underwriters', 'Financial Analysts', 'Personal Financial Advisors']",13-205,3.0,45.333333333333336,7.637626158259733,37.0,42.0,47.0,49.5,52.0,0.16847704760867058
"['Transportation Security Screeners', 'Crossing Guards', 'Retail Loss Prevention Specialists', 'Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers']",33-909,4.0,73.25,12.685293322058685,56.0,68.75,75.5,80.0,86.0,0.1731780658301527
"['Immigration and Customs Inspectors', 'Police Identification and Records Officers', 'Police Detectives', 'Criminal Investigators and Special Agents', 'Intelligence Analysts']",33-302,5.0,68.8,11.987493482792805,49.0,68.0,71.0,76.0,80.0,0.1742368238778024
"['Claims Examiners, Property and Casualty Insurance', 'Insurance Adjusters, Examiners, and Investigators', 'Insurance Appraisers, Auto Damage']",13-103,3.0,46.666666666666664,8.144527815247079,41.0,42.0,43.0,49.5,56.0,0.17452559604100884
"['Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders', 'Textile Cutting Machine Setters, Operators, and Tenders', 'Textile Bleaching and Dyeing Machine Operators and Tenders', 'Textile Knitting and Weaving Machine Setters, Operators, and Tenders']",51-606,4.0,52.0,9.092121131323903,44.0,45.5,50.0,56.5,64.0,0.17484848329469044
"['Cement Masons and Concrete Finishers', 'Terrazzo Workers and Finishers']",47-205,2.0,76.5,13.435028842544403,67.0,71.75,76.5,81.25,86.0,0.17562129205940397
"['Nuclear Power Reactor Operators', 'Power Distributors and Dispatchers', 'Power Plant Operators']",51-801,3.0,63.333333333333336,11.239810200058244,51.0,58.5,66.0,69.5,73.0,0.17747068736934069
