jobs,code,count,mean,std,min,25%,50%,75%,max,rel_std
"['Fence Erectors', 'Segmental Pavers', 'Construction and Building Inspectors', 'Hazardous Materials Removal Workers', 'Highway Maintenance Workers', 'Weatherization Installers and Technicians', 'Rail-Track Laying and Maintenance Equipment Operators', 'Septic Tank Servicers and Sewer Pipe Cleaners', 'Solar Thermal Installers and Technicians', 'Elevator Installers and Repairers']",47-40,10.0,69.0,7.586537784494028,60.0,64.0,67.5,72.5,85.0,0.10994982296368157
"['Farmworkers and Laborers, Crop', 'Graders and Sorters, Agricultural Products', 'Nursery Workers', 'Agricultural Equipment Operators', 'Farmworkers, Farm, Ranch, and Aquacultural Animals', 'Agricultural Inspectors', 'Animal Breeders']",45-20,7.0,50.142857142857146,21.919767117289144,24.0,36.0,39.0,66.0,84.0,0.43714635276645014
"['Postal Service Mail Carriers', 'Order Fillers, Wholesale and Retail Sales', 'Meter Readers, Utilities', 'Couriers and Messengers', 'Freight Forwarders', 'Cargo and Freight Agents', 'Stock Clerks, Sales Floor', 'Police, Fire, and Ambulance Dispatchers', 'Shipping, Receiving, and Traffic Clerks', 'Postal Service Clerks', 'Marking Clerks', 'Stock Clerks- Stockroom, Warehouse, or Storage Yard', 'Production, Planning, and Expediting Clerks', 'Dispatchers, Except Police, Fire, and Ambulance', 'Postal Service Mail Sorters, Processors, and Processing Machine Operators']",43-50,15.0,60.06666666666667,12.691204303243513,37.0,54.5,60.0,64.0,84.0,0.21128531026487535
"['Labor Relations Specialists', 'Logistics Analysts', 'Claims Examiners, Property and Casualty Insurance', 'Government Property Inspectors and Investigators', 'Agents and Business Managers of Artists, Performers, and Athletes', 'Cost Estimators', 'Equal Opportunity Representatives and Officers', 'Human Resources Specialists', 'Insurance Appraisers, Auto Damage', 'Buyers and Purchasing Agents, Farm Products', 'Farm Labor Contractors', 'Insurance Adjusters, Examiners, and Investigators', 'Logistics Engineers', 'Environmental Compliance Inspectors', 'Wholesale and Retail Buyers, Except Farm Products', 'Regulatory Affairs Specialists', 'Licensing Examiners and Inspectors', 'Logisticians', 'Coroners', 'Purchasing Agents, Except Wholesale, Retail, and Farm Products']",13-10,20.0,52.35,11.301024639152718,37.0,43.0,51.0,57.25,83.0,0.2158743961633757
"['Structural Metal Fabricators and Fitters', 'Coil Winders, Tapers, and Finishers', 'Electrical and Electronic Equipment Assemblers', 'Fiberglass Laminators and Fabricators', 'Electromechanical Equipment Assemblers', 'Timing Device Assemblers and Adjusters', 'Team Assemblers', 'Engine and Other Machine Assemblers', 'Aircraft Structure, Surfaces, Rigging, and Systems Assemblers']",51-20,9.0,62.111111111111114,10.227957328377505,45.0,59.0,60.0,66.0,83.0,0.16467194267512977
"['Dishwashers', 'Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop', 'Dining Room and Cafeteria Attendants and Bartender Helpers']",35-90,3.0,74.66666666666667,10.214368964029708,63.0,71.0,79.0,80.5,82.0,0.1367995843396836
"['Food Preparation Workers', 'Cooks, Private Household', 'Cooks, Restaurant', 'Cooks, Short Order', 'Cooks, Institution and Cafeteria', 'Cooks, Fast Food']",35-20,6.0,62.0,20.8806130178211,21.0,65.25,67.5,69.75,81.0,0.33678408093259843
"['Fish and Game Wardens', 'Police Patrol Officers', 'Police Identification and Records Officers', 'Parking Enforcement Workers', 'Correctional Officers and Jailers', 'Criminal Investigators and Special Agents', 'Bailiffs', 'Immigration and Customs Inspectors', 'Intelligence Analysts', 'Transit and Railroad Police', 'Police Detectives', 'Sheriffs and Deputy Sheriffs']",33-30,12.0,70.75,13.791466399717814,37.0,70.25,76.0,79.25,81.0,0.19493238727516346
"['Library Assistants, Clerical', 'Interviewers, Except Eligibility and Loan', 'New Accounts Clerks', 'Order Clerks', 'Receptionists and Information Clerks', 'Reservation and Transportation Ticket Agents and Travel Clerks', 'Loan Interviewers and Clerks', 'Human Resources Assistants, Except Payroll and Timekeeping']",43-41,8.0,61.5,12.62650273941963,45.0,52.75,57.5,73.0,81.0,0.2053089876328395
"['Tutors', 'Adult Basic and Secondary Education and Literacy Teachers and Instructors', 'Self-Enrichment Education Teachers']",25-30,3.0,79.0,2.6457513110645907,76.0,78.0,80.0,80.5,81.0,0.03349052292486824
"['Signal and Track Switch Repairers', 'Commercial Divers', 'Musical Instrument Repairers and Tuners', 'Helpers--Installation, Maintenance, and Repair Workers', 'Telecommunications Line Installers and Repairers', 'Geothermal Technicians', 'Riggers', 'Refrigeration Mechanics and Installers', 'Mechanical Door Repairers', 'Manufactured Building and Mobile Home Installers', 'Fabric Menders, Except Garment', 'Watch Repairers', 'Electrical Power-Line Installers and Repairers', 'Millwrights', 'Maintenance Workers, Machinery', 'Control and Valve Installers and Repairers, Except Mechanical Door', 'Camera and Photographic Equipment Repairers', 'Refractory Materials Repairers, Except Brickmasons', 'Heating and Air Conditioning Mechanics and Installers', 'Maintenance and Repair Workers, General', 'Locksmiths and Safe Repairers', 'Coin, Vending, and Amusement Machine Servicers and Repairers', 'Wind Turbine Service Technicians', 'Medical Equipment Repairers', 'Industrial Machinery Mechanics', 'Home Appliance Repairers']",49-90,26.0,65.84615384615384,10.566711154156936,38.0,59.0,67.5,73.0,80.0,0.16047575350939272
"['Baristas', 'Food Servers, Nonrestaurant', 'Combined Food Preparation and Serving Workers, Including Fast Food', 'Waiters and Waitresses', 'Counter Attendants, Cafeteria, Food Concession, and Coffee Shop', 'Bartenders']",35-30,6.0,75.16666666666667,2.7868739954771304,72.0,73.25,74.5,77.25,79.0,0.037075928986391976
"['Morticians, Undertakers, and Funeral Directors', 'Embalmers', 'Funeral Attendants']",39-40,3.0,71.66666666666667,7.505553499465135,64.0,68.0,72.0,75.5,79.0,0.10472865348090886
"['Mates- Ship, Boat, and Barge', 'Ship and Boat Captains', 'Ship Engineers', 'Sailors and Marine Oilers', 'Pilots, Ship', 'Motorboat Operators']",53-50,6.0,72.33333333333333,3.777124126457412,69.0,69.5,71.5,73.5,79.0,0.05221830589572459
"['Educational, Guidance, School, and Vocational Counselors', 'Mental Health Counselors', 'Child, Family, and School Social Workers', 'Substance Abuse and Behavioral Disorder Counselors', 'Rehabilitation Counselors', 'Probation Officers and Correctional Treatment Specialists', 'Marriage and Family Therapists', 'Health Educators', 'Community Health Workers', 'Healthcare Social Workers', 'Social and Human Service Assistants', 'Mental Health and Substance Abuse Social Workers']",21-10,12.0,63.833333333333336,9.17341349506906,50.0,57.75,62.0,70.0,79.0,0.1437088275989931
